scenario,scale,rule,ort_feasible,droc_feasible,ort_served_rate,droc_served_rate,served_gain_pp,ort_runtime,droc_runtime,runtime_ratio
ORTEC-SYNTH-500-s216_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,72.59,833.43,11.481333517013361
ORTEC-SYNTH-500-s216_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,72.59,570.09,7.853561096569775
ORTEC-SYNTH-500-s217_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,89.83,790.8,8.803295112991206
ORTEC-SYNTH-500-s217_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,89.83,790.8,8.803295112991206
ORTEC-SYNTH-500-s219_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,80.56,823.61,10.223560079443892
ORTEC-SYNTH-500-s219_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,80.56,544.75,6.762040714995035
ORTEC-SYNTH-500-s220_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,75.29,794.0,10.545889228317172
ORTEC-SYNTH-500-s220_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,75.29,673.61,8.946872094567672
ORTEC-SYNTH-500-s221_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,75.35,773.33,10.26317186463172
ORTEC-SYNTH-500-s221_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,75.35,658.13,8.734306569343067
ORTEC-SYNTH-500-s218_dyn5e,500,latest,False,False,0.8,0.802,0.20000000000000018,189.96,1370.24,7.213308064855759
ORTEC-SYNTH-500-s218_dyn5e,500,retry,False,True,0.8,1.002,20.199999999999996,189.96,626.19,3.2964308275426406
ORTEC-SYNTH-500-s222_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,91.38,866.65,9.484022762092362
ORTEC-SYNTH-500-s222_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,91.38,708.58,7.7542131757496175
ORTEC-SYNTH-500-s223_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,81.16,816.37,10.05877279448004
ORTEC-SYNTH-500-s223_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,81.16,816.37,10.05877279448004
ORTEC-SYNTH-500-s224_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,81.12,872.17,10.751602564102564
ORTEC-SYNTH-500-s224_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,81.12,872.17,10.751602564102564
ORTEC-SYNTH-500-s225_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,87.05,873.04,10.029178632969558
ORTEC-SYNTH-500-s225_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,87.05,571.27,6.562550258472142
ORTEC-SYNTH-500-s226_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,82.02,850.82,10.373323579614729
ORTEC-SYNTH-500-s226_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,82.02,777.86,9.483784442818825
ORTEC-SYNTH-500-s227_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,80.83,861.51,10.65829518743041
ORTEC-SYNTH-500-s227_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,80.83,724.26,8.960287022145243
ORTEC-SYNTH-500-s209_dyn5e,500,latest,False,False,0.0,0.0,0.0,724.06,2216.24,3.060851310664862
ORTEC-SYNTH-500-s209_dyn5e,500,retry,False,False,0.0,0.0,0.0,724.06,2216.24,3.060851310664862
ORTEC-SYNTH-500-s228_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,80.2,912.04,11.372069825436409
ORTEC-SYNTH-500-s228_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,80.2,661.0,8.241895261845386
ORTEC-SYNTH-500-s229_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,80.37,794.52,9.885778275475923
ORTEC-SYNTH-500-s229_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,80.37,749.36,9.32387706855792
ORTEC-SYNTH-500-s230_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,84.36,758.77,8.99442863916548
ORTEC-SYNTH-500-s230_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,84.36,706.23,8.371621621621621
ORTEC-SYNTH-500-s231_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,81.91,792.76,9.678427542424613
ORTEC-SYNTH-500-s231_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,81.91,657.18,8.023196190941277
ORTEC-SYNTH-500-s233_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,71.07,876.1,12.327282960461519
ORTEC-SYNTH-500-s233_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,71.07,608.96,8.568453637259042
ORTEC-SYNTH-500-s232_dyn5e,500,latest,True,True,1.0,1.002,0.20000000000000018,92.23,865.26,9.381546134663342
ORTEC-SYNTH-500-s232_dyn5e,500,retry,True,True,1.0,1.002,0.20000000000000018,92.23,762.06,8.262604358668545
