block,unit,scale,state,ort_runtime,droc_runtime
dynamic,ORTEC-SYNTH-300-s74_dyn5e,300,both,49.03,594.07
dynamic,ORTEC-SYNTH-300-s75_dyn5e,300,both,53.77,516.17
dynamic,ORTEC-SYNTH-300-s76_dyn5e,300,both,43.74,699.97
dynamic,ORTEC-SYNTH-300-s78_dyn5e,300,both,47.86,734.11
dynamic,ORTEC-SYNTH-300-s71_dyn5e,300,neither,267.69,1372.08
dynamic,ORTEC-SYNTH-300-s79_dyn5e,300,both,46.17,630.61
dynamic,ORTEC-SYNTH-300-s80_dyn5e,300,both,45.67,543.88
dynamic,ORTEC-SYNTH-300-s81_dyn5e,300,both,39.51,581.56
dynamic,ORTEC-SYNTH-300-s68_dyn5e,300,droc_only,386.76,916.36
dynamic,ORTEC-SYNTH-300-s82_dyn5e,300,both,48.63,641.88
dynamic,ORTEC-SYNTH-300-s83_dyn5e,300,both,47.2,575.9
dynamic,ORTEC-SYNTH-300-s84_dyn5e,300,both,40.78,616.05
dynamic,ORTEC-SYNTH-300-s85_dyn5e,300,both,44.96,645.97
dynamic,ORTEC-SYNTH-300-s86_dyn5e,300,both,45.61,695.17
dynamic,ORTEC-SYNTH-300-s87_dyn5e,300,both,49.76,588.85
dynamic,ORTEC-SYNTH-300-s89_dyn5e,300,both,54.28,704.24
dynamic,ORTEC-SYNTH-300-s90_dyn5e,300,both,43.71,594.7
dynamic,ORTEC-SYNTH-300-s92_dyn5e,300,both,50.01,601.95
dynamic,ORTEC-SYNTH-300-s93_dyn5e,300,both,40.93,619.59
dynamic,ORTEC-SYNTH-300-s94_dyn5e,300,both,50.97,654.36
dynamic,ORTEC-SYNTH-300-s77_dyn5e,300,neither,489.78,1826.37
dynamic,ORTEC-SYNTH-300-s95_dyn5e,300,both,49.0,775.88
dynamic,ORTEC-SYNTH-300-s88_dyn5e,300,neither,262.74,1508.63
dynamic,ORTEC-SYNTH-300-s96_dyn5e,300,both,43.56,564.01
dynamic,ORTEC-SYNTH-300-s97_dyn5e,300,both,36.41,547.34
dynamic,ORTEC-SYNTH-300-s98_dyn5e,300,both,44.42,681.98
dynamic,ORTEC-SYNTH-300-s99_dyn5e,300,both,42.93,593.55
dynamic,ORTEC-SYNTH-500-s200_dyn5e,500,both,81.32,726.61
dynamic,ORTEC-SYNTH-500-s201_dyn5e,500,both,73.37,671.4
dynamic,ORTEC-SYNTH-500-s202_dyn5e,500,both,92.14,770.68
dynamic,ORTEC-SYNTH-500-s204_dyn5e,500,both,69.41,734.78
dynamic,ORTEC-SYNTH-500-s203_dyn5e,500,both,81.82,725.22
dynamic,ORTEC-SYNTH-500-s205_dyn5e,500,both,73.97,708.74
dynamic,ORTEC-SYNTH-500-s207_dyn5e,500,both,79.01,641.56
dynamic,ORTEC-SYNTH-500-s208_dyn5e,500,both,87.54,547.68
dynamic,ORTEC-SYNTH-500-s210_dyn5e,500,both,87.09,737.22
dynamic,ORTEC-SYNTH-500-s206_dyn5e,500,neither,281.62,1643.1
dynamic,ORTEC-SYNTH-500-s211_dyn5e,500,both,80.39,619.31
dynamic,ORTEC-SYNTH-300-s91_dyn5e,300,droc_only,723.67,632.07
dynamic,ORTEC-SYNTH-500-s212_dyn5e,500,both,89.12,630.85
dynamic,ORTEC-SYNTH-500-s213_dyn5e,500,both,76.2,571.61
dynamic,ORTEC-SYNTH-500-s214_dyn5e,500,both,81.5,592.45
dynamic,ORTEC-SYNTH-500-s215_dyn5e,500,both,83.16,775.59
dynamic,ORTEC-SYNTH-500-s216_dyn5e,500,both,72.59,570.09
dynamic,ORTEC-SYNTH-500-s217_dyn5e,500,both,89.83,790.8
dynamic,ORTEC-SYNTH-500-s219_dyn5e,500,both,80.56,544.75
dynamic,ORTEC-SYNTH-500-s220_dyn5e,500,both,75.29,673.61
dynamic,ORTEC-SYNTH-500-s221_dyn5e,500,both,75.35,658.13
dynamic,ORTEC-SYNTH-500-s218_dyn5e,500,droc_only,189.96,626.19
dynamic,ORTEC-SYNTH-500-s222_dyn5e,500,both,91.38,708.58
dynamic,ORTEC-SYNTH-500-s223_dyn5e,500,both,81.16,816.37
dynamic,ORTEC-SYNTH-500-s224_dyn5e,500,both,81.12,872.17
dynamic,ORTEC-SYNTH-500-s225_dyn5e,500,both,87.05,571.27
dynamic,ORTEC-SYNTH-500-s226_dyn5e,500,both,82.02,777.86
dynamic,ORTEC-SYNTH-500-s227_dyn5e,500,both,80.83,724.26
dynamic,ORTEC-SYNTH-500-s209_dyn5e,500,neither,724.06,2216.24
dynamic,ORTEC-SYNTH-500-s228_dyn5e,500,both,80.2,661.0
dynamic,ORTEC-SYNTH-500-s229_dyn5e,500,both,80.37,749.36
dynamic,ORTEC-SYNTH-500-s230_dyn5e,500,both,84.36,706.23
dynamic,ORTEC-SYNTH-500-s231_dyn5e,500,both,81.91,657.18
dynamic,ORTEC-SYNTH-500-s233_dyn5e,500,both,71.07,608.96
dynamic,ORTEC-SYNTH-500-s232_dyn5e,500,both,92.23,762.06
dynamic,ORTEC-SYNTH-500-s234_dyn5e,500,both,79.71,733.41
dynamic,ORTEC-SYNTH-500-s235_dyn5e,500,both,91.71,799.61
dynamic,ORTEC-SYNTH-500-s236_dyn5e,500,both,81.76,654.97
dynamic,ORTEC-SYNTH-500-s237_dyn5e,500,both,79.11,595.52
dynamic,ORTEC-SYNTH-500-s239_dyn5e,500,both,81.7,613.57
dynamic,ORTEC-SYNTH-500-s240_dyn5e,500,both,70.09,565.22
dynamic,ORTEC-SYNTH-500-s241_dyn5e,500,both,93.36,718.85
dynamic,ORTEC-SYNTH-500-s242_dyn5e,500,both,75.09,607.95
dynamic,ORTEC-SYNTH-500-s238_dyn5e,500,droc_only,182.41,654.76
dynamic,ORTEC-SYNTH-500-s243_dyn5e,500,both,84.55,703.2
dynamic,ORTEC-SYNTH-500-s244_dyn5e,500,both,95.3,651.94
dynamic,ORTEC-SYNTH-500-s245_dyn5e,500,both,91.28,579.47
dynamic,ORTEC-SYNTH-500-s246_dyn5e,500,both,85.02,711.04
dynamic,ORTEC-SYNTH-500-s247_dyn5e,500,both,104.61,616.67
dynamic,ORTEC-SYNTH-500-s248_dyn5e,500,both,98.53,590.51
dynamic,ORTEC-SYNTH-500-s249_dyn5e,500,both,91.39,760.08
dynamic,ORTEC-SYNTH-500-s251_dyn5e,500,both,92.64,611.29
dynamic,ORTEC-SYNTH-500-s253_dyn5e,500,both,88.64,825.03
dynamic,ORTEC-SYNTH-500-s254_dyn5e,500,both,87.44,793.77
dynamic,ORTEC-SYNTH-500-s256_dyn5e,500,both,86.58,636.2
dynamic,ORTEC-SYNTH-500-s257_dyn5e,500,both,84.37,795.01
dynamic,ORTEC-SYNTH-500-s252_dyn5e,500,droc_only,397.42,984.33
dynamic,ORTEC-SYNTH-500-s258_dyn5e,500,both,86.29,848.96
dynamic,ORTEC-SYNTH-500-s259_dyn5e,500,both,87.22,795.17
dynamic,ORTEC-SYNTH-500-s260_dyn5e,500,both,100.66,580.43
dynamic,ORTEC-SYNTH-500-s255_dyn5e,500,droc_only,397.33,628.08
dynamic,ORTEC-SYNTH-500-s261_dyn5e,500,both,89.23,729.31
dynamic,ORTEC-SYNTH-500-s262_dyn5e,500,both,76.61,676.15
dynamic,ORTEC-SYNTH-500-s263_dyn5e,500,both,93.58,802.94
dynamic,ORTEC-SYNTH-500-s250_dyn5e,500,droc_only,725.46,719.34
dynamic,ORTEC-SYNTH-500-s264_dyn5e,500,both,90.08,709.02
dynamic,ORTEC-SYNTH-500-s265_dyn5e,500,both,91.74,754.69
dynamic,ORTEC-SYNTH-500-s266_dyn5e,500,both,89.49,784.12
dynamic,ORTEC-SYNTH-500-s268_dyn5e,500,both,78.61,687.52
dynamic,ORTEC-SYNTH-500-s267_dyn5e,500,both,86.2,617.24
dynamic,ORTEC-SYNTH-500-s269_dyn5e,500,both,104.37,681.15
dynamic,ORTEC-SYNTH-500-s45_dyn5e,500,both,94.84,706.45
dynamic,ORTEC-SYNTH-500-s46_dyn5e,500,both,82.44,710.12
dynamic,ORTEC-SYNTH-500-s47_dyn5e,500,both,80.84,719.23
dynamic,ORTEC-SYNTH-800-s400_dyn5e,800,both,160.67,891.5
dynamic,ORTEC-SYNTH-800-s401_dyn5e,800,both,163.53,859.47
dynamic,ORTEC-SYNTH-800-s403_dyn5e,800,both,183.13,827.37
dynamic,ORTEC-SYNTH-800-s405_dyn5e,800,both,168.26,714.29
dynamic,ORTEC-SYNTH-800-s406_dyn5e,800,both,145.11,827.22
dynamic,ORTEC-SYNTH-800-s408_dyn5e,800,both,160.38,871.51
dynamic,ORTEC-SYNTH-800-s402_dyn5e,800,droc_only,520.94,858.66
dynamic,ORTEC-SYNTH-800-s407_dyn5e,800,droc_only,349.8,776.88
dynamic,ORTEC-SYNTH-800-s409_dyn5e,800,both,158.15,824.24
dynamic,ORTEC-SYNTH-800-s411_dyn5e,800,both,139.52,591.83
dynamic,ORTEC-SYNTH-800-s412_dyn5e,800,both,168.54,713.13
dynamic,ORTEC-SYNTH-800-s404_dyn5e,800,droc_only,728.89,1028.12
dynamic,ORTEC-SYNTH-800-s413_dyn5e,800,both,153.45,855.99
dynamic,ORTEC-SYNTH-800-s414_dyn5e,800,both,148.41,709.34
dynamic,ORTEC-SYNTH-800-s415_dyn5e,800,both,151.03,823.96
dynamic,ORTEC-SYNTH-800-s410_dyn5e,800,neither,512.28,2294.19
dynamic,ORTEC-SYNTH-800-s416_dyn5e,800,both,159.8,931.21
dynamic,ORTEC-SYNTH-800-s419_dyn5e,800,both,163.62,619.12
dynamic,ORTEC-SYNTH-800-s420_dyn5e,800,both,194.48,763.64
dynamic,ORTEC-SYNTH-800-s421_dyn5e,800,both,166.11,826.1
dynamic,ORTEC-SYNTH-800-s422_dyn5e,800,both,181.01,768.0
dynamic,ORTEC-SYNTH-800-s418_dyn5e,800,neither,516.04,2116.98
dynamic,ORTEC-SYNTH-800-s423_dyn5e,800,both,166.21,784.78
dynamic,ORTEC-SYNTH-800-s424_dyn5e,800,both,172.93,647.27
dynamic,ORTEC-SYNTH-800-s425_dyn5e,800,both,167.98,896.88
dynamic,ORTEC-SYNTH-800-s417_dyn5e,800,neither,727.52,2215.63
dynamic,ORTEC-SYNTH-800-s427_dyn5e,800,both,169.88,829.75
dynamic,ORTEC-SYNTH-800-s430_dyn5e,800,both,179.89,754.58
dynamic,ORTEC-SYNTH-800-s426_dyn5e,800,droc_only,512.69,917.17
dynamic,ORTEC-SYNTH-800-s429_dyn5e,800,droc_only,523.09,1216.56
dynamic,ORTEC-SYNTH-800-s432_dyn5e,800,both,186.08,652.54
dynamic,ORTEC-SYNTH-800-s434_dyn5e,800,both,141.06,863.68
dynamic,ORTEC-SYNTH-800-s428_dyn5e,800,droc_only,729.06,1130.74
dynamic,ORTEC-SYNTH-800-s433_dyn5e,800,droc_only,238.18,815.74
dynamic,ORTEC-SYNTH-800-s431_dyn5e,800,droc_only,517.15,791.02
dynamic,ORTEC-SYNTH-800-s438_dyn5e,800,both,160.84,866.19
dynamic,ORTEC-SYNTH-800-s435_dyn5e,800,droc_only,395.54,804.09
