setting,scale,rule,metric,value,unit
static,300,latest,distance_reduction_pct,-0.9167649995461559,ORTEC-SYNTH-300-s69
static,300,retry,vehicle_reduction_pct,9.67741935483871,ORTEC-SYNTH-300-s69
static,300,retry,distance_reduction_pct,4.4450365564069605,ORTEC-SYNTH-300-s69
static,300,latest,vehicle_reduction_pct,-3.4482758620689653,ORTEC-SYNTH-300-s72
static,300,latest,distance_reduction_pct,-6.065593264992499,ORTEC-SYNTH-300-s72
static,300,retry,vehicle_reduction_pct,6.896551724137931,ORTEC-SYNTH-300-s72
static,300,retry,distance_reduction_pct,19.588168009897007,ORTEC-SYNTH-300-s72
static,300,latest,vehicle_reduction_pct,-6.451612903225806,ORTEC-SYNTH-300-s70
static,300,latest,distance_reduction_pct,20.45044445490496,ORTEC-SYNTH-300-s70
static,300,retry,vehicle_reduction_pct,6.451612903225806,ORTEC-SYNTH-300-s70
static,300,retry,distance_reduction_pct,6.673938532176109,ORTEC-SYNTH-300-s70
static,300,latest,vehicle_reduction_pct,10.344827586206897,ORTEC-SYNTH-300-s73
static,300,latest,distance_reduction_pct,1.9367440724818403,ORTEC-SYNTH-300-s73
static,300,retry,vehicle_reduction_pct,17.24137931034483,ORTEC-SYNTH-300-s73
static,300,retry,distance_reduction_pct,2.841023047341664,ORTEC-SYNTH-300-s73
static,300,latest,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s75
static,300,latest,distance_reduction_pct,-2.235647654951796,ORTEC-SYNTH-300-s75
static,300,retry,vehicle_reduction_pct,3.571428571428571,ORTEC-SYNTH-300-s75
static,300,retry,distance_reduction_pct,-2.235647654951796,ORTEC-SYNTH-300-s75
static,300,latest,vehicle_reduction_pct,-3.4482758620689653,ORTEC-SYNTH-300-s76
static,300,latest,distance_reduction_pct,-3.4555970185483065,ORTEC-SYNTH-300-s76
static,300,retry,vehicle_reduction_pct,6.896551724137931,ORTEC-SYNTH-300-s76
static,300,retry,distance_reduction_pct,4.165682235247284,ORTEC-SYNTH-300-s76
static,300,latest,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s74
static,300,latest,distance_reduction_pct,3.9455111661256237,ORTEC-SYNTH-300-s74
static,300,retry,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s74
static,300,retry,distance_reduction_pct,3.9455111661256237,ORTEC-SYNTH-300-s74
static,300,latest,vehicle_reduction_pct,0.0,ORTEC-SYNTH-300-s79
static,300,latest,distance_reduction_pct,0.9322951032479367,ORTEC-SYNTH-300-s79
static,300,retry,vehicle_reduction_pct,7.142857142857142,ORTEC-SYNTH-300-s79
static,300,retry,distance_reduction_pct,5.15556972506005,ORTEC-SYNTH-300-s79
static,300,latest,vehicle_reduction_pct,-6.896551724137931,ORTEC-SYNTH-300-s78
static,300,latest,distance_reduction_pct,3.0530470250075887,ORTEC-SYNTH-300-s78
static,300,retry,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s78
static,300,retry,distance_reduction_pct,7.162494875494793,ORTEC-SYNTH-300-s78
static,300,latest,vehicle_reduction_pct,3.4482758620689653,ORTEC-SYNTH-300-s81
static,300,latest,distance_reduction_pct,2.8205496161297265,ORTEC-SYNTH-300-s81
static,300,retry,vehicle_reduction_pct,6.896551724137931,ORTEC-SYNTH-300-s81
static,300,retry,distance_reduction_pct,20.561096362201333,ORTEC-SYNTH-300-s81
