timestamp,scenario,base_instance,num_epochs,solver,time_limit_sec,overall_served_rate,overall_feasible,total_late_violations,total_capacity_violations,total_distance,total_runtime_sec,error
2026-05-02T14:09:13.772627,ORTEC-SYNTH-300-s93_dyn5e,ORTEC-SYNTH-300-s93,5,ortools,120,1.0000,True,0,0,221217.0,40.93,
2026-05-02T14:09:54.706041,ORTEC-SYNTH-300-s94_dyn5e,ORTEC-SYNTH-300-s94,5,ortools,120,1.0000,True,0,0,211252.2,50.97,
2026-05-02T14:03:16.543139,ORTEC-SYNTH-300-s77_dyn5e,ORTEC-SYNTH-300-s77,5,ortools,120,0.2000,False,0,0,48137.5,489.78,
2026-05-02T14:10:45.675259,ORTEC-SYNTH-300-s95_dyn5e,ORTEC-SYNTH-300-s95,5,ortools,120,1.0000,True,0,0,256980.3,49.0,
2026-05-02T14:07:14.595187,ORTEC-SYNTH-300-s88_dyn5e,ORTEC-SYNTH-300-s88,5,ortools,120,0.6000,False,0,0,130229.8,262.74,
2026-05-02T14:11:26.326240,ORTEC-SYNTH-300-s96_dyn5e,ORTEC-SYNTH-300-s96,5,ortools,120,1.0000,True,0,0,255250.4,43.56,
2026-05-02T14:11:34.677413,ORTEC-SYNTH-300-s97_dyn5e,ORTEC-SYNTH-300-s97,5,ortools,120,1.0000,True,0,0,238521.2,36.41,
2026-05-02T14:11:37.331694,ORTEC-SYNTH-300-s98_dyn5e,ORTEC-SYNTH-300-s98,5,ortools,120,1.0000,True,0,0,236830.7,44.42,
2026-05-02T14:12:09.892820,ORTEC-SYNTH-300-s99_dyn5e,ORTEC-SYNTH-300-s99,5,ortools,120,1.0000,True,0,0,228150.9,42.93,
2026-05-02T14:12:11.091209,ORTEC-SYNTH-500-s200_dyn5e,ORTEC-SYNTH-500-s200,5,ortools,120,1.0000,True,0,0,398660.4,81.32,
2026-05-02T14:12:21.748069,ORTEC-SYNTH-500-s201_dyn5e,ORTEC-SYNTH-500-s201,5,ortools,120,1.0000,True,0,0,345756.2,73.37,
2026-05-02T14:12:52.824199,ORTEC-SYNTH-500-s202_dyn5e,ORTEC-SYNTH-500-s202,5,ortools,120,1.0000,True,0,0,355861.6,92.14,
2026-05-02T14:13:35.122357,ORTEC-SYNTH-500-s204_dyn5e,ORTEC-SYNTH-500-s204,5,ortools,120,1.0000,True,0,0,320925.2,69.41,
2026-05-02T14:13:32.416167,ORTEC-SYNTH-500-s203_dyn5e,ORTEC-SYNTH-500-s203,5,ortools,120,1.0000,True,0,0,346341.1,81.82,
2026-05-02T14:14:24.987613,ORTEC-SYNTH-500-s205_dyn5e,ORTEC-SYNTH-500-s205,5,ortools,120,1.0000,True,0,0,316903.8,73.97,
2026-05-02T14:14:54.238261,ORTEC-SYNTH-500-s207_dyn5e,ORTEC-SYNTH-500-s207,5,ortools,120,1.0000,True,0,0,330030.6,79.01,
2026-05-02T14:15:38.956313,ORTEC-SYNTH-500-s208_dyn5e,ORTEC-SYNTH-500-s208,5,ortools,120,1.0000,True,0,0,357168.5,87.54,
2026-05-02T14:17:06.514452,ORTEC-SYNTH-500-s210_dyn5e,ORTEC-SYNTH-500-s210,5,ortools,120,1.0000,True,0,0,330430.5,87.09,
2026-05-02T14:14:44.533399,ORTEC-SYNTH-500-s206_dyn5e,ORTEC-SYNTH-500-s206,5,ortools,120,0.6000,False,0,0,226651.1,281.62,
2026-05-02T14:18:33.607019,ORTEC-SYNTH-500-s211_dyn5e,ORTEC-SYNTH-500-s211,5,ortools,120,1.0000,True,0,0,349354.7,80.39,
2026-05-02T14:08:16.010501,ORTEC-SYNTH-300-s91_dyn5e,ORTEC-SYNTH-300-s91,5,ortools,120,0.0000,False,0,0,0.0,723.67,
2026-05-02T14:19:26.153653,ORTEC-SYNTH-500-s212_dyn5e,ORTEC-SYNTH-500-s212,5,ortools,120,1.0000,True,0,0,350505.3,89.12,
2026-05-02T14:19:53.998100,ORTEC-SYNTH-500-s213_dyn5e,ORTEC-SYNTH-500-s213,5,ortools,120,1.0000,True,0,0,306554.7,76.2,
2026-05-02T14:20:19.680630,ORTEC-SYNTH-500-s214_dyn5e,ORTEC-SYNTH-500-s214,5,ortools,120,1.0000,True,0,0,284402.9,81.5,
2026-05-02T14:20:55.281452,ORTEC-SYNTH-500-s215_dyn5e,ORTEC-SYNTH-500-s215,5,ortools,120,1.0000,True,0,0,408846.7,83.16,
2026-05-02T14:21:10.202172,ORTEC-SYNTH-500-s216_dyn5e,ORTEC-SYNTH-500-s216,5,ortools,120,1.0000,True,0,0,282749.4,72.59,
2026-05-02T14:21:41.187714,ORTEC-SYNTH-500-s217_dyn5e,ORTEC-SYNTH-500-s217,5,ortools,120,1.0000,True,0,0,333434.0,89.83,
2026-05-02T14:22:22.796882,ORTEC-SYNTH-500-s219_dyn5e,ORTEC-SYNTH-500-s219,5,ortools,120,1.0000,True,0,0,374925.0,80.56,
2026-05-02T14:23:11.023693,ORTEC-SYNTH-500-s220_dyn5e,ORTEC-SYNTH-500-s220,5,ortools,120,1.0000,True,0,0,312171.9,75.29,
