feasible,improvement,instance,method,method_label,metric,n,panel,rate,scale,scenario,served_rate,size
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s92_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s92_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s93_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s93_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s93_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s94_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s94_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s94_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s95_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s95_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s95_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s96_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s96_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s96_dyn5e,100.33000000000001,
True,,,ortools,OR-Tools,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s97_dyn5e,100.0,
True,,,latest,DRoC latest,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s97_dyn5e,100.33000000000001,
True,,,retry,DRoC retry,,,dynamic_served_rate,,300,ORTEC-SYNTH-300-s97_dyn5e,100.33000000000001,
